level_0,level_1,0,column1,column2
1932,12,"[25098.696189088372, 12]",25098.696189088372,12
1932,13,"[33519.30876052752, 13]",33519.30876052752,13
1932,14,"[27901.47261226311, 14]",27901.47261226311,14
1932,15,"[25345.69772097981, 15]",25345.69772097981,15
1932,16,"[24745.00468499259, 16]",24745.00468499259,16
1932,17,"[29580.17860044014, 17]",29580.17860044014,17
1932,18,"[38321.1213768702, 18]",38321.1213768702,18
1932,19,"[44375.85855441569, 19]",44375.85855441569,19
1932,20,"[51578.06039779735, 20]",51578.06039779735,20
1932,21,"[50567.13041400052, 21]",50567.13041400052,21
1932,22,"[76765.9606814942, 22]",76765.9606814942,22
1932,23,"[102075.69791818282, 23]",102075.69791818282,23
1932,24,"[108149.2019443147, 24]",108149.2019443147,24
1932,25,"[93257.05683658257, 25]",93257.05683658257,25
1932,26,"[131371.21596569387, 26]",131371.21596569387,26
1932,27,"[146308.12322099326, 27]",146308.12322099326,27
1932,28,"[144289.07112054355, 28]",144289.07112054355,28
1932,29,"[181270.36004873886, 29]",181270.36004873886,29
1932,30,"[163487.73772795757, 30]",163487.73772795757,30
1932,31,"[198294.27709023975, 31]",198294.27709023975,31
1932,32,"[228256.54235857498, 32]",228256.54235857498,32
1932,33,"[252885.42327906523, 33]",252885.42327906523,33
1932,34,"[220440.22347236116, 34]",220440.22347236116,34
1932,35,"[266093.39375348715, 35]",266093.39375348715,35
1932,36,"[283708.776419968, 36]",283708.776419968,36
1932,37,"[244840.67405043237, 37]",244840.67405043237,37
1932,38,"[239552.11549094302, 38]",239552.11549094302,38
1932,39,"[263124.0436552518, 39]",263124.0436552518,39
1932,40,"[304039.8324436435, 40]",304039.8324436435,40
1932,41,"[241620.45484296346, 41]",241620.45484296346,41
1932,42,"[152365.85882397275, 42]",152365.85882397275,42
1932,43,"[194830.22367821395, 43]",194830.22367821395,43
1932,44,"[230036.04509686722, 44]",230036.04509686722,44
1932,45,"[199027.18621780953, 45]",199027.18621780953,45
1932,46,"[196877.6926066572, 46]",196877.6926066572,46
1932,47,"[210993.8231665545, 47]",210993.8231665545,47
1932,48,"[249479.09651213404, 48]",249479.09651213404,48
1932,49,"[212007.3362160115, 49]",212007.3362160115,49
1932,50,"[242239.58236041473, 50]",242239.58236041473,50
1932,51,"[288580.0144659621, 51]",288580.0144659621,51
1932,52,"[293861.0287306892, 52]",293861.0287306892,52
1932,53,"[375201.76148334396, 53]",375201.76148334396,53
1932,54,"[437597.81441802403, 54]",437597.81441802403,54
1932,55,"[447049.92720945337, 55]",447049.92720945337,55
1932,56,"[502484.11818342557, 56]",502484.11818342557,56
1932,57,"[636446.3840911268, 57]",636446.3840911268,57
1932,58,"[582603.0199970176, 58]",582603.0199970176,58
1932,59,"[734196.3258002416, 59]",734196.3258002416,59
1932,60,"[767088.3211960924, 60]",767088.3211960924,60
1932,61,"[820631.0860155796, 61]",820631.0860155796,61
1932,62,"[810537.323657588, 62]",810537.323657588,62
1932,63,"[1089119.001798701, 63]",1089119.001798701,63
1932,64,"[1304002.1808535848, 64]",1304002.1808535848,64
1932,65,"[1705765.2527745743, 65]",1705765.2527745743,65
1932,66,"[2162569.1874676053, 66]",2162569.1874676053,66
1932,67,"[2566537.111686554, 67]",2566537.111686554,67
1932,68,"[2248543.1635485897, 68]",2248543.1635485897,68
1932,69,"[1918007.318506947, 69]",1918007.318506947,69
1932,70,"[1466316.594998561, 70]",1466316.594998561,70
1932,71,"[1848731.9629741858, 71]",1848731.9629741858,71
1932,72,"[1998109.5055825, 72]",1998109.5055825,72
1932,73,"[2026882.282462888, 73]",2026882.282462888,73
1932,74,"[2277810.3090317934, 74]",2277810.3090317934,74
1932,75,"[2337716.7201593295, 75]",2337716.7201593295,75
1932,76,"[1393512.9368869765, 76]",1393512.9368869765,76
1932,77,"[1760006.8392882512, 77]",1760006.8392882512,77
1932,78,"[1991975.7407064429, 78]",1991975.7407064429,78
1932,79,"[1970860.7978549546, 79]",1970860.7978549546,79
1932,80,"[2243233.760118509, 80]",2243233.760118509,80
1932,81,"[2931682.20109888, 81]",2931682.20109888,81
1932,82,"[3280552.3830296462, 82]",3280552.3830296462,82
1932,83,"[3321887.3430558196, 83]",3321887.3430558196,83
1932,84,"[3671017.7028109864, 84]",3671017.7028109864,84
1932,85,"[4386131.951318567, 85]",4386131.951318567,85
1932,86,"[4091383.884189959, 86]",4091383.884189959,86
1932,87,"[5296296.438083902, 87]",5296296.438083902,87
1932,88,"[6185014.980394381, 88]",6185014.980394381,88
1933,0,"[15509.0, 0]",15509.0,0
1933,1,"[14846.7657, 1]",14846.7657,1
1933,2,"[21453.5764365, 2]",21453.5764365,2
1933,3,"[27992.6265343452, 3]",27992.6265343452,3
1933,4,"[17092.297761871177, 4]",17092.297761871177,4
1933,5,"[22452.442339993977, 5]",22452.442339993977,5
1933,6,"[22524.29015548196, 6]",22524.29015548196,6
1933,7,"[19958.773506772563, 7]",19958.773506772563,7
